time,topic,topic_value,source
12,6,0.16380301117897034,uganda
12,7,0.07699697464704514,uganda
12,8,0.11116889864206314,uganda
12,9,0.029956156387925148,uganda
13,0,0.04110398888587952,uganda
13,1,0.09232325851917267,uganda
13,2,0.0907866433262825,uganda
13,3,0.2976429760456085,uganda
13,4,0.05296768993139267,uganda
13,5,0.04643667861819267,uganda
13,6,0.1613924354314804,uganda
13,7,0.07654965668916702,uganda
13,8,0.11076807975769043,uganda
13,9,0.030028657987713814,uganda
14,0,0.041062191128730774,uganda
14,1,0.09273276478052139,uganda
14,2,0.09005898237228394,uganda
14,3,0.3006761968135834,uganda
14,4,0.05297194793820381,uganda
14,5,0.04633541777729988,uganda
14,6,0.1595926433801651,uganda
14,7,0.0761159360408783,uganda
14,8,0.11039067059755325,uganda
14,9,0.030063215643167496,uganda
15,0,0.041014719754457474,uganda
15,1,0.09306502342224121,uganda
15,2,0.08932887017726898,uganda
15,3,0.30304762721061707,uganda
15,4,0.05295455828309059,uganda
15,5,0.046275194734334946,uganda
15,6,0.15838846564292908,uganda
15,7,0.07579129934310913,uganda
15,8,0.11004795134067535,uganda
15,9,0.030086196959018707,uganda
16,0,0.04093027859926224,uganda
16,1,0.09323489665985107,uganda
16,2,0.08857888728380203,uganda
16,3,0.3052161633968353,uganda
16,4,0.05286385864019394,uganda
16,5,0.04617772251367569,uganda
16,6,0.1577172428369522,uganda
16,7,0.0754799097776413,uganda
16,8,0.10972387343645096,uganda
16,9,0.030077187344431877,uganda
17,0,0.04091883450746536,uganda
17,1,0.09366282820701599,uganda
17,2,0.08791330456733704,uganda
17,3,0.3072662055492401,uganda
17,4,0.05291561037302017,uganda
17,5,0.046143144369125366,uganda
17,6,0.15642713010311127,uganda
17,7,0.07523906230926514,uganda
17,8,0.10935837030410767,uganda
17,9,0.03015548177063465,uganda
18,0,0.040869586169719696,uganda
18,1,0.09393440186977386,uganda
18,2,0.08722246438264847,uganda
18,3,0.30919718742370605,uganda
18,4,0.05288016051054001,uganda
18,5,0.04607483372092247,uganda
18,6,0.15559101104736328,uganda
18,7,0.07501006871461868,uganda
18,8,0.1090196818113327,uganda
18,9,0.03020048700273037,uganda
0,0,0.041595667600631714,antigua and barbuda
0,1,0.08553830534219742,antigua and barbuda
0,2,0.09731394052505493,antigua and barbuda
0,3,0.25022584199905396,antigua and barbuda
0,4,0.052401136606931686,antigua and barbuda
0,5,0.048000626266002655,antigua and barbuda
0,6,0.19663113355636597,antigua and barbuda
0,7,0.08359098434448242,antigua and barbuda
0,8,0.11440633982419968,antigua and barbuda
0,9,0.03029605746269226,antigua and barbuda
1,0,0.04125791788101196,antigua and barbuda
1,1,0.08562091737985611,antigua and barbuda
1,2,0.09651408344507217,antigua and barbuda
1,3,0.25271010398864746,antigua and barbuda
1,4,0.051983729004859924,antigua and barbuda
1,5,0.04777900502085686,antigua and barbuda
1,6,0.19663450121879578,antigua and barbuda
1,7,0.08307290822267532,antigua and barbuda
1,8,0.11445290595293045,antigua and barbuda
1,9,0.029974039644002914,antigua and barbuda
2,0,0.040996044874191284,antigua and barbuda
2,1,0.08523987233638763,antigua and barbuda
2,2,0.09671344608068466,antigua and barbuda
2,3,0.2538148760795593,antigua and barbuda
2,4,0.051599640399217606,antigua and barbuda
2,5,0.04743862897157669,antigua and barbuda
2,6,0.19727903604507446,antigua and barbuda
2,7,0.08274112641811371,antigua and barbuda
2,8,0.11448582261800766,antigua and barbuda
2,9,0.029691433534026146,antigua and barbuda
3,0,0.04076062887907028,antigua and barbuda
3,1,0.0850185751914978,antigua and barbuda
3,2,0.09673319011926651,antigua and barbuda
3,3,0.2557040750980377,antigua and barbuda
3,4,0.051293425261974335,antigua and barbuda
3,5,0.04707914590835571,antigua and barbuda
3,6,0.19741205871105194,antigua and barbuda
3,7,0.08219123631715775,antigua and barbuda
3,8,0.11440230160951614,antigua and barbuda
3,9,0.02940550446510315,antigua and barbuda
4,0,0.040554825216531754,antigua and barbuda
4,1,0.08493717014789581,antigua and barbuda
4,2,0.09666886180639267,antigua and barbuda
4,3,0.25804609060287476,antigua and barbuda
4,4,0.051052842289209366,antigua and barbuda
4,5,0.04671063646674156,antigua and barbuda
4,6,0.19709564745426178,antigua and barbuda
4,7,0.08152642846107483,antigua and barbuda
4,8,0.11427300423383713,antigua and barbuda
4,9,0.029134703800082207,antigua and barbuda
5,0,0.040364205837249756,antigua and barbuda
5,1,0.08495021611452103,antigua and barbuda
5,2,0.0963912159204483,antigua and barbuda
5,3,0.26069507002830505,antigua and barbuda
5,4,0.050851501524448395,antigua and barbuda
5,5,0.046417441219091415,antigua and barbuda
5,6,0.1964433640241623,antigua and barbuda
5,7,0.08087217807769775,antigua and barbuda
5,8,0.11411743611097336,antigua and barbuda
5,9,0.028897391632199287,antigua and barbuda
6,0,0.04018890857696533,antigua and barbuda
6,1,0.08499867469072342,antigua and barbuda
6,2,0.09605120867490768,antigua and barbuda
6,3,0.2635806202888489,antigua and barbuda
6,4,0.050655532628297806,antigua and barbuda
6,5,0.046109557151794434,antigua and barbuda
6,6,0.1956072449684143,antigua and barbuda
6,7,0.08019868284463882,antigua and barbuda
6,8,0.11393760144710541,antigua and barbuda
6,9,0.02867196314036846,antigua and barbuda
7,0,0.04002625122666359,antigua and barbuda
7,1,0.08509744703769684,antigua and barbuda
7,2,0.09557658433914185,antigua and barbuda
7,3,0.2664868235588074,antigua and barbuda
7,4,0.050481390208005905,antigua and barbuda
7,5,0.04587487876415253,antigua and barbuda
7,6,0.19464091956615448,antigua and barbuda
7,7,0.07959993928670883,antigua and barbuda
7,8,0.11373692005872726,antigua and barbuda
7,9,0.028478864580392838,antigua and barbuda
8,0,0.039867617189884186,antigua and barbuda
8,1,0.0852273553609848,antigua and barbuda
8,2,0.09501251578330994,antigua and barbuda
8,3,0.26940494775772095,antigua and barbuda
8,4,0.05032206326723099,antigua and barbuda
8,5,0.04568546265363693,antigua and barbuda
8,6,0.19359615445137024,antigua and barbuda
8,7,0.0790652185678482,antigua and barbuda
8,8,0.11350882053375244,antigua and barbuda
8,9,0.028309743851423264,antigua and barbuda
9,0,0.03971492499113083,antigua and barbuda
9,1,0.08538037538528442,antigua and barbuda
9,2,0.09439313411712646,antigua and barbuda
9,3,0.2722568213939667,antigua and barbuda
9,4,0.05017435923218727,antigua and barbuda
9,5,0.04553014039993286,antigua and barbuda
9,6,0.19253183901309967,antigua and barbuda
9,7,0.07859257608652115,antigua and barbuda
9,8,0.11326387524604797,antigua and barbuda
9,9,0.02816210687160492,antigua and barbuda
10,0,0.03956982493400574,antigua and barbuda
10,1,0.08555084466934204,antigua and barbuda
10,2,0.0937419980764389,antigua and barbuda
10,3,0.2749793827533722,antigua and barbuda
10,4,0.050035975873470306,antigua and barbuda
10,5,0.04540255293250084,antigua and barbuda
10,6,0.19149601459503174,antigua and barbuda
10,7,0.07817985862493515,antigua and barbuda
10,8,0.11300980299711227,antigua and barbuda
10,9,0.02803376503288746,antigua and barbuda
11,0,0.039433106780052185,antigua and barbuda
11,1,0.0857343077659607,antigua and barbuda
11,2,0.09307469427585602,antigua and barbuda
11,3,0.27753278613090515,antigua and barbuda
11,4,0.04990532994270325,antigua and barbuda
11,5,0.04529866948723793,antigua and barbuda
11,6,0.19052182137966156,antigua and barbuda
11,7,0.07782476395368576,antigua and barbuda
11,8,0.11275160312652588,antigua and barbuda
11,9,0.027922820299863815,antigua and barbuda
12,0,0.03930475935339928,antigua and barbuda
12,1,0.08592730015516281,antigua and barbuda
12,2,0.09240176528692245,antigua and barbuda
12,3,0.27989462018013,antigua and barbuda
12,4,0.04978137090802193,antigua and barbuda
12,5,0.04521552845835686,antigua and barbuda
12,6,0.18962976336479187,antigua and barbuda
12,7,0.0775250643491745,antigua and barbuda
12,8,0.1124921441078186,antigua and barbuda
12,9,0.027827676385641098,antigua and barbuda
13,0,0.03918419033288956,antigua and barbuda
13,1,0.0861271545290947,antigua and barbuda
13,2,0.09173041582107544,antigua and barbuda
13,3,0.28205427527427673,antigua and barbuda
13,4,0.04966345056891441,antigua and barbuda
13,5,0.04515084996819496,antigua and barbuda
13,6,0.1888311505317688,antigua and barbuda
13,7,0.07727857679128647,antigua and barbuda
13,8,0.11223290115594864,antigua and barbuda
13,9,0.02774699777364731,antigua and barbuda
14,0,0.03907623142004013,antigua and barbuda
14,1,0.08629261702299118,antigua and barbuda
14,2,0.09105785191059113,antigua and barbuda
14,3,0.28408363461494446,antigua and barbuda
14,4,0.04952125996351242,antigua and barbuda
14,5,0.045072175562381744,antigua and barbuda
14,6,0.18820515275001526,antigua and barbuda
14,7,0.07704732567071915,antigua and barbuda
14,8,0.11197914183139801,antigua and barbuda
14,9,0.02766459994018078,antigua and barbuda
15,0,0.03897758200764656,antigua and barbuda
15,1,0.08648882061243057,antigua and barbuda
15,2,0.09040579199790955,antigua and barbuda
15,3,0.2858431339263916,antigua and barbuda
15,4,0.04940405115485191,antigua and barbuda
